,index,name,cnt,unit,gram,cal,carbs,protein,fat,sugar,salt
0,174,[동원] 쎈쿡팔곡밥,1,인분,210,335,72.91,6.34,2,0,0
1,656,[한성기업] 뿌비또,1,봉지,7,28,5.6,0.35,0.47,0,0
2,730,오이지무침,1,회,100,72,10.15,1.5,2.83,3.97,1129.78
3,394,잉어매운탕,1,대접,174,138,10.68,15.35,3.5,0,0
4,636,깨 볶은것,1,종지,13,75,0,0,0,0,0
5,667,갓김치,1,소접시,50,29,4.1,1.8,0.6,0,141
6,934,오삼불고기,1,소접시,157,351,27.78,34.87,44.49,0,0
7,381,대구매운탕,1,인분,220,135,13.3,17.9,2.3,0,706.7
8,952,갈매기살구이,1,인분,200,429,0.73,28.73,34.05,0.19,399
9,32,순댓국,1,인분,300,201,6.6,16.2,12.3,0.49,564
10,898,마늘쫑 어묵볶음,1,소접시,92,116,16.86,6.37,4.61,0,0
11,184,[CJ] 햇반 저단백밥,1,개,180,260,0,0,0,0,0
12,142,제육돌솥비빔밥 계란후라이포함,1,뚝배기,300,472,197.7,48.9,44.7,13.5,410
13,56,삼각김밥 소고기볶음,1,개,100,192,0,0,0,0,0
14,673,무초절이,1,소접시,85,22,5.61,0.7,0.08,0,0
15,815,피칸 볶은것,1,종지,13,84,0,0,0,0,0
16,512,[오뚜기] 맛있는쇠고기죽,1,인분,285,170,28.06,5.08,4.16,0,0
17,162,현미보리밥,1,공기,210,316,0,0,0,0,0
18,539,송편 팥고물속,2,개,40,86,18.7,2.3,0.2,0,200
19,70,[훼밀리마트] 햄참치샐러드삼각김밥,1,개,112,206,33,5,6,0,0
20,330,갈치찌개,1,인분,1183,480,13.13,31.29,12.68,0,0
21,587,팬더굴소스,1,큰술,14,20,0,0,0,0,0
22,876,표고버섯당근볶음,1,소접시,70,65,0,0,0,0,0
23,837,근대볶음,1,소접시,88,45,3.71,1.97,4.23,0,0
24,514,[CJ] 차이니게살스프,1,인분,250,50,7.02,3.01,1.1,0,0
25,117,김치볶음밥,1,인분,300,446,225.27,26.25,37.11,7.38,844
26,737,무말랭이무침,1,회,100,136,28.5,3.3,1,11.9,1282
27,100,[오뚜기] 맛있는해물리조또,1,개,300,320,63,12,2.5,0,0
28,59,[CU] 전주비빔 삼각김밥,1,개,105,180,33,4,3.6,3,478
29,969,[풀무원] 퓨렘소이윈너,1,개,140,217,0,0,0,0,0
30,839,감자야채볶음,1,소접시,84,54,10.99,2.09,5.37,0,0
31,644,와사비 분말,1,종지,2,8,1.76,0.39,0.08,0,0
32,180,콩나물밥(양념장 포함),1,인분,300,396,215.82,43.05,20.43,18.72,1743
33,618,[오뚜기] 비빔국수장,1,인분,51,107,17.14,5.09,2.02,0,0
34,140,콩나물비빔밥,1,인분,500,586,99.54,21,12.33,0,0
35,888,감자어묵볶음,1,소접시,93,144,16.96,7.32,6.18,0,0
36,401,해물뚝배기,1,인분,200,178,9.14,26.94,3.02,1.17,493
37,494,[청정원] 진미죽,1,회분,28,105,22.08,1.92,1,0,0
38,446,[동원] 양반 해물죽,1,인분,285,165,29.44,9.6,1,0,0
39,254,미역된장국,1,대접,86,70,5.56,5.51,1.38,0,0
40,164,현미찹쌀밥,1,공기,210,349,44.29,4.24,0.4,0.1,10
41,693,쑥갓나물,1,소접시,84,40,5.26,3.37,2.13,0,0
42,912,[동원] 부산어묵 네모랑,1,회분,100,145,0,0,0,0,0
43,34,[농심] 소고기국밥,1,인분,250,380,77.51,8.5,3.44,0,0
44,297,들깨무채국,1,대접,76,60,0,0,0,0,0
45,147,강낭콩밥,1,공기,210,350,77,7.25,0.2,0,4.7
46,245,근대조개국,1,대접,101,57,5.7,6.38,1.48,0,0
47,428,[동원] 양반 홍게살죽,1,개,287,175,28,4,5,1,485
48,395,옥돔매운탕,1,소대접,200,142,0,0,0,0,0
49,988,[동원] 친친치즈빅,1,회분,35,45,6,3,1.2,1,210
50,292,콩국,1,회,100,42,1.5,3.5,2.5,1.5,32.5
51,103,[한솥도시락] 칠리탕수육도시락,1,인분,400,765,95.63,47.81,21.25,0,0
52,588,[풀무원] 레몬&갈릭드레싱,1,회분,30,30,6.9,0.6,0,0,0
53,323,부대찌개,1,인분,400,626,41.1,27.7,38.5,3.1,2913
54,882,오뎅볶음,1,소접시,111,125,14.7,7.3,4.1,2,774
55,717,무나물,1,인분,75,50,4.1,0.8,3.5,1.8,424
56,278,무새우젓국,1,대접,114,62,3.26,6.1,2.88,0,0
57,369,[동원] 양반참치김치찌개,1,포장,290,105,7,10,4,0,0
58,805,콩나물겨자채,1,소접시,106,86,11.16,5.39,1.88,0,0
59,432,[CJ] 전복죽,1,개,315,180,31.05,7.65,2.8,0,0
60,531,절편,1,소접시,100,220,47.8,4.27,0.78,0.18,9
61,420,녹차죽,1,대접,315,227,0,0,0,0,0
62,57,삼각김밥 오삼불고기,1,개,100,194,0,0,0,0,0
63,340,참치찌개,1,대접,70,71,17.93,36.03,5.14,0,0
64,748,도라지무침,1,소접시,92,87,32.45,15.81,2.6,0,0
65,65,[훼밀리마트] 듬뿍닭불갈비삼각김밥,1,개,100,160,29.67,5.38,2.2,0,0
66,660,다진생강,1,회분,15,8,1.2,0.8,0,0,0
67,228,닭계장,1,인분,274,271,4.5,30.25,14.35,0,0
68,597,프렌치드레싱,1,종지,14,19,29.7,0,0.8,0,0
69,199,계란국,1,대접,100,54,2.65,4.32,2.95,1.12,283
70,436,[CJ] 오차즈케죽,1,개,273,150,0,0,0,0,0
71,812,잣 볶은것,1,회,100,708,4.7,17.6,75.0,0.0,30
72,801,콩나물냉채,1,소접시,87,29,18.03,4.92,5.1,0,0
73,579,한식된장,1,큰술,15,29,11.7,13.6,8.2,0,0
74,651,파프리카 분말,1,종지,2,7,0.9,0.4,0.3,0,0
75,596,이탈리안드레싱,1,종지,14,15,0.7,0,1.4,0,0
76,922,돼지고기고추장볶음,1,소접시,106,192,11.87,11.63,16.22,0,0
77,612,[오뚜기] 햄샌드위치스프레드,1,회분,100,505,14,2,50,0,0
78,784,두부톳무침,1,소접시,75,55,2.16,5.2,3.65,0,0
79,607,[오뚜기] 야채샌드위치스프레드,1,회분,100,420,14,1,41,0,0
80,418,수수죽,1,대접,250,211,47.45,5.42,0.61,0,0
81,473,[죽이야기] 토속올갱이죽,1,인분,699,328,0,0,0,0,0
82,917,돈육두루치기,1,인분,125,238,11.5,11.7,15.7,0,419
83,143,현미밥,1,공기,210,321,68.95,6.3,1.53,0,5
84,962,닭똥집,1,회,100,92,0.1,17,2.1,0,0
85,67,[GS25] 전주비빔순한맛삼각김밥,1,개,100,170,32,4,2.8,0,0
86,803,무숙채,1,소접시,76,52,4.26,1.02,4.28,0,0
87,536,증편,1,소접시,100,193,44.8,2.7,0.3,0,0
88,728,잔파무침,1,소접시,77,38,4.1,1.62,2.56,0,0
89,706,깻잎나물,1,소접시,84,47,6.84,3.81,6.64,0,0
90,838,돼지고기김치볶음,1,인분,80,105,2.29,6.95,7.61,0.9,358
91,799,편육겨자채,1,소접시,99,135,4.6,12.94,4.17,0,0
92,251,무된장국,1,대접,93,54,6.57,3.97,1.12,0,0
93,726,[맥도날드] 가든샐러드,1,접시,120,80,0,0,0,0,0
94,298,조갯살된장국,1,대접,56,63,0,0,0,0,0
95,304,[삼호F&G] 어묵왕오뎅,1,개,500,700,0,0,0,0,0
96,433,[동원] 양반 참치죽,1,개,285,165,29,7,2.6,0,465
97,532,찹쌀떡,1,개,50,118,25.27,2.51,0.71,3.55,122
98,309,[오뚜기] 간편미역국,1,컵,10,35,7,1,0.4,0,410
99,687,냉이나물,1,소접시,93,65,10.09,4.33,2.28,0,0
100,653,물엿,1,회분,100,273,75.7,0.1,0,0,0
101,466,[죽이야기] 쇠고기야채죽,1,인분,719,525,0,0,0,0,0
102,508,[구리코] 체다치즈프리츠,1,봉지,31,139,0,0,0,0,0
103,870,무청볶음,1,소접시,89,80,4.33,2.12,7.04,0,0
104,52,삼각김밥 떡갈비,1,개,100,150,0,0,0,0,0
105,83,[청정원] 쇠고기카레,1,인분,200,165,25.99,4.1,4.96,0,0
106,285,김당면국,1,대접,44,64,11.82,5.25,1.7,0,0
107,454,[농심] 보노스프 콘스프,1,포,18,83,13,1,3.1,13,370
108,264,가지냉국,1,대접,86,41,6.89,2.35,10.31,0,0
109,263,짬뽕국,1,대접,153,179,8.44,14.11,10.49,0,0
110,288,건새우미역국,1,대접,29,101,2.58,6.88,2.49,0,0
111,253,감자미역국,1,대접,69,61,7.78,3.16,2.27,0,0
112,97,단호박영양밥,1,인분,170,355,78.75,14.61,1.78,0,0
113,833,가지볶음,1,회,100,84,15.26,1.3,2.78,3.4,166.68
114,268,재치조개국,1,대접,89,78,7.67,10.3,2.85,0,0
115,825,떡잡채,1,소접시,120,207,119.15,25.06,12.05,0,0
116,294,우거지해장국,1,회,100,25,2.24,1.99,0.98,0.42,341.6
117,500,[서울마님죽] 호박죽,1,팩,500,340,66.13,10.55,3.7,0,0
118,863,우엉볶음,1,소접시,71,97,11.94,2.43,6.38,0,0
119,683,상추겉절이,1,인분,50,24,4.9,1.4,0.6,0,136
120,655,들깨가루,1,회,100,540,37.7,16,39.5,0,5
121,518,[본죽] 참치야채죽,1,그릇,680,700,120,10.5,14,0,0
122,966,오돌뼈,1,인분,90,159,8.61,12.81,8.18,0.99,381
123,235,두부김치국,1,대접,112,60,3.38,6.79,2.76,0,0
124,714,비름나물,1,소접시,78,39,5.13,2.97,3.8,0,0
125,593,토마토소스 통조림,1,종지,18,7,1.2,0.2,0,0,0
126,899,오징어떡볶음,1,소접시,125,146,23.39,10.24,1.4,0,0
127,397,적어매운탕,0.5,대접,99,59,3.1,8.2,1.9,2.6,465
128,678,장김치,1,소접시,102,10,2.6,0.95,0.11,0,0
129,522,[한국에스비] 컵스야채스프,1,회분,12,45,0,0,0,0,0
130,766,홍합무침,1,소접시,162,106,13.85,9.39,1.36,0,0
131,513,[오뚜기] 맛있는단팥죽,1,인분,285,325,63.71,10.34,3.2,0,0
132,376,다하누곰탕,1,팩,600,120,0,0,0,0,0
133,66,[훼밀리마트] 매콤참치김밥,1,줄,190,280,55.55,8.83,2.5,0,0
134,781,청포묵무침,1,소접시,100,58,11.5,0.92,0.88,1.34,43
135,724,해초샐러드,1,소접시,102,66,0,0,0,0,0
136,821,[남부햄] 콩마을,1,접시,50,101,2.6,7.6,7,0,0
137,960,돼지고기뒷다리구이,1,점,33,93,0,0,0,0,0
138,300,쇠고기토란국,1,소대접,87,65,0,0,0,0,0
139,409,흰죽,1,그릇,200,136,31.2,2.8,0,0,6
140,515,[CJ] 닭고기인삼스프,1,인분,250,115,16.1,8.6,1.8,0,0
141,963,치킨 (중간크기/뼈제거),1,조각,85,249,8.58,19.19,14.85,0.2,260
142,650,파슬리 말린것,1,종지,2,7,1,0.6,0.1,0,0
143,35,[농심] 추어탕국밥,1,인분,237,365,0,0,0,0,0
144,437,[오뚜기] 3분쇠고기죽,1,인분,230,85,16,3,1,0,0
145,601,후렌치드레싱,1,종지,14,19,29.7,0,0.8,0,0
146,723,햄야채샐러드,1,인분,143,152,0,0,0,0,0
147,749,더덕무침,1,뿌리,35,37,7.6,1.9,2,0,0
148,41,굴밥,1,인분,440,470,92.21,15.98,3.35,0,0
149,387,아구매운탕,0.5,대접,93,58,5.2,7.8,1.3,4.4,375
150,914,잔멸치소세지볶음,1,소접시,50,129,6.7,9.45,8.81,0,0
151,974,[스마트이팅] 고단백콩비엔나,11,조각,100,215,6.9,12.92,15.08,0,0
152,407,전복죽,1,인분,800,591,114.3,12.6,9.3,0,0
153,248,단배추된장국,1,대접,113,76,5.74,8.43,2.63,0,0
154,705,씀바귀나물,1,소접시,93,82,12.75,3.07,2.07,0,0
155,51,삼각김밥 게장양념,1,개,100,167,0,0,0,0,0
156,743,도토리묵무침,1,중간접시,100,45,10,0.2,0.3,1,118
157,709,근대나물,1,소접시,84,38,4.42,2.34,1.69,0,0
158,931,고추장불고기,1,인분,150,262,12.53,23.93,12.58,5.68,732
159,695,시래기나물,1,소접시,93,52,6.72,3.9,4.79,0,0
160,594,후추가루,1,회분,100,306,56,10.3,4.1,0,0
161,967,돼지막창,1,인분,200,601,5.73,29.84,51.59,0.89,1036
162,568,삼색떡국,1,회분,200,410,180.0,14.0,2.0,0.0,0
163,616,[오뚜기] 돈까스소스,1,종지,15,18,4.23,0.27,0,0,0
164,945,떡갈비,1,인분,200,416,4.05,32.98,29.19,1.16,579
165,776,피조개무침,1,소접시,162,114,12.1,10.83,2.16,0,0
166,520,[오뚜기] 오트밀스프 녹차,1,인분,25,85,0,0,0,0,0
167,948,돼지불고기,1,인분,250,464,12.74,30.32,30.9,6.3,688
168,239,조개살배추국,1,대접,125,68,6.67,7.32,1.62,0,0
169,440,[오뚜기] 3분삼계죽,1,인분,230,90,18.5,2,0.5,0,0
170,260,닭무국,1,대접,130,122,4.48,12.11,6.44,0,0
171,669,보쌈김치,1,소접시,74,49,16.29,21.83,10.23,0,0
172,868,마늘쫑볶음,1,소접시,92,75,16.1,3.2,1.6,14.3,1113
173,684,양파겉절이,1,소접시,67,33,7.68,1.18,0.17,0,0
174,238,조개국,1,대접,79,59,3.61,6.8,3.26,0,0
175,574,초장,1,종지,28,42,11.4,1,0,6.6,773
176,811,은행 삶은것,1,종지,30,49,0,0,0,0,0
177,789,골뱅이소면무침,1,인분,250,293,34.68,29.85,4.46,7.07,733
178,447,[동원] 양반 삼계죽,1,회분,285,175,33,10,0.6,2,520
179,290,오이냉국,1,대접,104,22,2.45,1.07,0.15,0,0
180,736,게맛살무침,1,소접시,95,85,9.77,4.93,2.5,0,0
181,906,진미채볶음,1,접시,50,139,20.8,9.3,2.1,5.8,582
182,822,잡채,1,인분,150,285,43.23,7.59,10.16,3.03,808
183,224,아욱국,1,대접,982,289,10.53,19.65,3.29,0,0
184,771,노각무침,1,소접시,100,56,9.55,1.71,1.22,4.71,544.91
185,891,뱅어포볶음,1,소접시,28,67,8.12,5.42,3.52,0,0
186,999,가자미구이,1,회,100,157,1.76,21.6,7.08,0.21,665.6
187,410,잣죽,1,인분,210,340,37.3,5.1,12,0,0
188,316,[훼밀리마트] 도시락친구계란국,1,회분,4,15,3.45,0.3,0,0,0
189,237,쇠고기두부국,1,대접,95,93,2.78,11.77,5.59,0,0
190,337,조기찌개,1,인분,171,135,9.7,17.8,3.4,0,728.6
191,227,배추된장국,1,인분,200,107,14.4,6.33,3.35,4.98,1290
192,491,종가집아침에먹는단팥죽,1,인분,270,235,0,0,0,0,0
193,487,[CJ] 인델리치킨반달루,1,인분,160,205,0,0,0,0,0
194,319,호박된장찌개,1,뚝배기,195,146,15.76,9.61,2.95,0,0
195,258,쑥국,1,인분,250,70,8.55,7.31,1.48,0.6,362
196,172,[동원] 쎈쿡 건강한 혼합곡밥,1,인분,210,310,72,5,0,0,10
197,758,파래무침,1,소접시,77,29,4.16,3.44,0.61,0.34,579
198,859,느타리버섯볶음,1,소접시,100,91,7.8,3.4,5.1,1.42,434.25
199,861,버섯채소볶음,1,소접시,118,77,5.97,2.28,5.64,0,0
200,733,오징어무침,1,소접시,143,103,11.76,11.56,3.09,0,0
201,732,미역초무침,1,소접시,84,33,9.71,1.82,0.28,0,0
202,69,[훼밀리마트] 매콤제육김치삼각김밥,1,개,112,187,38,4,2,0,0
203,953,닭불고기,1,소접시,115,170,9.25,12.69,9.71,0,0
204,351,섞어찌개,1,대접,198,147,16.1,10.4,5.5,15.3,1203
205,129,비프케밥,1,인분,200,395,0,0,0,0,0
206,871,멸치깻잎볶음,1,소접시,40,49,2.93,7.43,1.3,0,0
207,549,술떡,1,개,30,54,11.3,1.08,0.3,0.09,3
208,130,치킨케밥,1,인분,200,360,0,0,0,0,0
209,242,홍합무국,1,대접,84,63,3.64,4.4,2.53,0,0
210,58,삼각김밥 김치불고기,1,개,100,189,0,0,0,0,0
211,42,김밥,1,줄,200,318,57.6,7.3,6.5,0.5,833.29
212,957,닭꼬치구이,1,개,150,139,0,0,0,0,0
213,156,잡곡밥,1,공기,210,340,73.47,8.82,1.98,0.1,273
214,519,[오뚜기] 오트밀스프 오곡,1,인분,25,90,18.63,1.62,1,0,0
215,666,동치미,1,인분,100,18,3.55,1.47,0.24,1.76,508
216,280,새알미역국,1,대접,53,137,0,0,0,0,0
217,91,[CJ] 고추참치덮밥,1,인분,320,395,71.07,14.18,6,0,0
218,145,찰밥,1,공기,210,321,79.54,9.4,0.62,0,0
219,175,[동원] 쎈쿡 발아현미밥 210g,1,개,210,310,73,6,2.2,3,55
220,240,감자된장국,1,대접,128,101,12.97,5.12,1.02,0,0
221,182,[CJ] 햇반 쌀밥 210g,1,개,210,315,70,5,1.5,0,15
222,559,보리개떡,1,개,33,50,0,0,0,0,0
223,677,유채김치,1,소접시,60,17,6.06,2.1,0.48,0,0
224,986,[풀무원] 퓨렘로스구이,1,인분,40,68,0,0,0,0,0
225,405,단팥죽,1,인분,300,367,78.24,12.88,1.16,21.96,367
226,527,인절미 콩고물,1,개,17,36,0,0,0,0,0
227,173,[동원] 쎈쿡찰진밥,1,인분,210,300,69,6,0,0,0
228,99,[오뚜기] 맛있는김치참치덮밥,1,개,340,425,0,0,0,0,0
229,153,옥수수밥,1,공기,85,293,77.84,6.1,0.47,0,0
230,996,삼치양념구이,1,토막,98,170,9,14.78,5.26,0,0
231,88,[CJ] 인도치킨커리덮밥,1,인분,340,450,261.97,60.86,26.52,0.0,0
232,605,[오뚜기] 1000아일랜드드레싱,1,회분,100,362,13,1,35,0,0
233,589,마요네즈,1,큰술,18,126,0.46,0.38,14.18,0,0
234,697,무말랭이오징어무침,1,소접시,75,128,18.45,10.79,3.13,0,0
235,632,[CJ] 쇠고기다시다,1,인분,1,4,0.5,0.2,0.1,0,222.8
236,764,대구포무침,1,소접시,30,93,4.52,12.52,2.77,0,0
237,443,[화과방] 청둥호박죽,1,인분,280,170,34.3,8.2,0,0,0
238,814,피스타치오 조미한것,1,종지,13,74,0,0,0,0,0
239,566,모시송편,1,개,50,60,13.08,0.95,0.41,4.33,3
240,622,[CJ] 프레시안스파게티소스 미트,1,종지,20,17,3.66,0.59,0,0,0
241,904,부추어묵,1,개,30,35,3,3,1.1,0,0
242,448,[오뚜기] 삼계죽,1,인분,285,160,31,7,1.1,0,380
243,204,쇠고기미역국,1,인분,200,177,16,15,6.7,0.7,681
244,879,새송이버섯볶음,1,인분,205,297,9.37,4.02,28.83,0,0
245,373,추어탕,1,인분,300,194,3.54,26.52,8.01,1,1202
246,203,참치김치국,1,대접,100,41,2.49,5.42,0.69,0,0
247,700,고구마줄기무침,1,소접시,100,61,9.4,1.1,2.5,1.8,677
248,495,[오뚜기] 옛날 쇠고기죽,1,봉,85,315,65,8,2.8,2,1210
249,613,[오뚜기] 후레시마요네즈,1,회분,100,730,1,1,80,0,0
250,720,파강회,1,접시,74,27,9.7,7.47,3.79,0,0
251,672,파김치,1,소접시,15,18,4,1.2,0.2,0,302
252,250,두부찌개,1,인분,300,297,7.1,20.9,20.3,1.9,582
253,946,햄구이,1,쪽,40,52,2.36,6.6,1.68,0,0
254,286,계란파국,1,대접,52,80,2.38,5.27,4.77,0,0
255,757,파래무생채,1,소접시,83,26,5.5,1.94,0.74,0,739.3
256,498,[서울마님죽] 단팥죽,1,팩,500,475,95,20,2.5,20,800
257,449,[CJ] 송이버섯죽,1,인분,315,145,0,0,0,0,0
258,625,양념치킨소스,1,큰술,15,34,7.3,0.6,0.25,0,0
259,109,[한솥도시락] 육개장도시락,1,인분,400,636,0,0,0,0,0
260,600,카레가루,1,티스푼,6,20,3.66,0.8,0.87,0.17,3
261,388,닭매운탕,1,대접,146,183,0,0,0,0,0
262,178,고구마밥,1,공기,210,312,75.28,5.12,0.16,0,0
263,284,다시멸치미역국,1,소대접,250,16,2.34,3.58,0.84,0,0
264,335,어묵김치찌개,0.5,인분,355,140,18.1,9.6,4.5,16.9,1041
265,983,돼지어깨등심 구운것,1,토막,45,135,0,10.49,9.63,0,0
266,116,[GS25] 유부초밥과알참치김밥,1,개,210,344,53,8,12,0,0
267,927,칠면조볶음,1,소접시,119,143,6.78,14.57,5.09,0,0
268,421,단호박죽,1,대접,310,261,49.14,6.01,0.54,0,0
269,944,[예맛] 맥주용 안주김,1,회분,1,10,0.25,0,1,0,0
270,958,훈제계란,1,개,60,88,0.68,7.49,6.04,0.46,198
271,692,취나물,1,인분,100,31,5.4,3.3,0.4,0,0
272,719,미나리강회,1,접시,114,56,8.72,7.12,3.72,0,0
273,844,철판구이볶음,1,소접시,155,146,6.23,13.66,6.91,0,0
274,849,햄김치볶음,1,소접시,99,199,5.48,7,12.98,0,0
275,33,[농심] 미역국밥,1,인분,249,385,0,0,0,0,0
276,856,소세지야채볶음,1,소접시,89,151,4.38,7.92,11.22,0.83,364
277,496,[서울마님죽] 영양닭죽,1,팩,500,345,0,0,0,0,0
278,488,[오뚜기] 마이스타일쇠고기죽,1,인분,22,85,16.85,2.27,0.95,0,0
279,493,종가집아침에먹는호박죽,1,인분,255,170,0,0,0,0,0
280,137,[풀무원] 7가지 야채와 통새우 볶음밥,1,회,225,385,70,9,9,5,550
281,315,[풀무원] 국산콩 진한 콩국물,1,봉,320,160,16,12.8,6.4,3.2,512
282,772,오징어채무침,1,소접시,31,100,4.66,12.8,3.37,0,0
283,40,[오뚜기] 옛날국밥쇠고기미역국밥,1,개,350,255,49,10,1.9,0,820
284,810,아몬드 조미한것,1,종지,13,77,0,0,0,0,0
285,746,콩나물미나리무침,1,소접시,74,28,4.07,3.69,2.33,0,0
286,154,완두콩밥,1,공기,210,325,69.68,6.38,1.41,0.76,639
287,92,[CJ] 볶음자장,1,봉지,180,145,20.75,2,6,0,0
288,583,마늘가루,1,종지,2,8,1.79,0.46,0.02,0,0
289,404,[오뚜기] 옛날구수한누룽지,1,회분,30,110,26,2,0,0,20
290,820,무슬리,1,회분,100,320,0,0,0,0,0
291,161,[농심] 발아현미밥,1,그릇,210,332,0,0,0,0,0
292,681,[한울] 꼬마 맛김치,1,회,80,25,4,1,0,2,420
293,575,고추장볶음,1,종지,29,62,7.75,3.18,1.88,0,0
294,445,[CJ] 녹차죽,1,회분,100,155,29.9,5.8,1.3,0,0
295,752,홍어회무침,1,중간접시,200,199,26,17.9,2.6,0,0
296,403,연포탕,1,그릇,1000,542,20.2,94.9,9,0,0
297,712,미나리나물,1,소접시,89,31,6.29,2.05,0.58,0,0
298,690,배추나물,1,소접시,90,39,7.81,1.73,0.7,0,0
299,979,돼지갈비 구운것,1,토막,45,151,0,13.55,11.52,0,0
300,865,버섯볶음,1,소접시,128,98,10.7,3,6.8,0,613
301,767,북어채무침,1,소접시,28,99,21.85,16.95,22.07,0,0
302,525,[서울마님죽] 고구마죽,1,팩,500,416,406.25,67.25,20.5,0.0,0
303,699,고사리나물,1,인분,81,50,3.6,2.2,3,0,282
304,765,오징어풋마늘무침,1,소접시,101,89,6.48,14.78,1.16,0,0
305,649,토마토케찹,1,티스푼,16,15,3.76,0.26,0.06,3.42,167
306,31,국밥,1,인분,500,680,0,0,0,0,0
307,459,SMART EATING 나트륨을 줄인 전복죽,1,회분,250,155,0,0,0,0,0
308,744,쥐포무침,1,소접시,31,95,9.8,8.12,2.55,0,0
309,543,찹쌀전병,1,개,11,46,8.7,0.8,1,0,0
310,860,깻잎나물볶음,1,회,90,70,7.22,3.34,4.57,0,0
